"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,149,3,1,2,7,1,0,0,0,-4,2,4,1983,0,-3,1,1
10,0,0,150,1,1,0,4,1,0,0,0,-4,1,2,1984,0,-3,1,1
0,0,0,151,3,-4,-4,-4,0,0,0,0,-4,2,1,1982,1,-3,1,1
3,0,0,152,3,-4,-4,-4,1,1,1,0,-4,1,5,1982,-4,-4,1,1
0,0,0,153,1,-4,-4,-4,0,0,0,0,-4,2,2,1980,0,-3,1,1
0,0,0,154,1,-4,-4,-4,1,0,0,0,-4,1,6,1980,0,142700,1,4
1,0,0,155,1,-4,-4,-4,0,0,0,0,-4,1,2,1980,0,-3,1,4
2,0,0,156,1,-4,-4,-4,0,0,0,0,-4,1,11,1982,0,-3,1,4
0,0,0,157,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,0,72000,1,2
0,0,0,158,2,3,0,1,1,0,0,0,-4,1,12,1984,0,47000,1,2
0,0,0,159,1,-4,-4,-4,1,0,0,0,-4,2,1,1980,0,21,1,2
2,0,0,160,2,-4,-4,-4,1,1,0,0,-4,2,1,1981,1,5856,1,2
14,1,79,161,3,-4,-4,-4,1,1,0,1,3,1,1,1982,1,5856,1,2
0,0,0,162,2,-4,-4,-4,0,0,0,0,-4,2,8,1981,0,40000,1,1
3,1,142,163,3,1,13,4,1,0,1,0,-4,1,2,1983,0,40000,1,1
1,0,0,164,1,-4,-4,-4,1,0,0,1,1,2,7,1981,0,49000,1,4
0,0,0,165,1,-4,-4,-4,0,0,0,0,-4,1,4,1980,-4,-4,1,4
0,0,0,166,1,-4,-4,-4,0,0,0,0,-4,2,9,1982,-4,-4,1,4
0,0,0,167,1,1,0,4,0,0,0,0,-4,1,11,1984,0,87000,1,2
0,0,0,168,2,-4,-4,-4,1,0,0,0,-4,1,1,1981,0,-3,1,2
24,3,9,169,1,3,0,5,0,0,0,0,-4,2,1,1983,0,30000,1,4
0,0,0,170,1,1,0,1,0,0,0,0,-4,2,8,1984,0,30000,1,4
0,0,0,171,1,1,0,1,0,0,0,0,-4,2,7,1984,0,54000,1,2
0,0,0,172,1,3,0,1,1,0,0,0,-4,1,7,1983,0,119750,1,4
0,0,0,173,1,-4,-4,-4,0,0,0,0,-4,2,6,1980,0,104500,1,4
0,0,0,174,1,1,1,1,0,0,0,0,-4,1,4,1983,0,104500,1,4
0,0,0,175,1,-4,-4,-4,0,0,0,0,-4,2,10,1981,0,-3,1,4
0,0,0,176,-2,-4,-4,-4,1,0,0,0,-4,1,9,1982,0,-3,1,4
0,0,0,177,1,-4,-4,-4,0,0,0,0,-4,2,11,1980,0,52425,1,4
0,0,0,178,1,-4,-4,-4,0,0,0,0,-4,2,3,1980,0,-3,1,4
0,0,0,179,1,-4,-4,-4,0,0,0,0,-4,2,9,1981,0,-3,1,4
0,0,0,180,1,3,0,1,0,0,0,0,-4,1,9,1983,0,-3,1,4
0,0,0,181,1,-4,-4,-4,0,0,0,0,-4,2,11,1982,0,111750,1,4
0,0,0,182,1,1,0,4,0,0,0,0,-4,2,5,1984,0,111750,1,4
0,0,0,183,1,-4,-4,-4,0,0,0,0,-4,2,12,1980,0,138750,1,4
0,0,0,184,1,3,0,1,0,0,0,0,-4,1,12,1984,0,60000,1,4
7,2,23,185,1,-4,-4,-4,1,1,0,1,3,1,6,1981,0,92500,1,1
0,0,0,186,1,1,0,1,0,0,0,0,-4,2,7,1983,-4,-4,1,4
0,0,0,187,1,2,-4,-4,0,0,0,0,-4,1,9,1983,0,75500,1,2
0,0,0,188,1,-4,-4,-4,1,0,0,0,-4,2,10,1980,0,26000,1,4
